Date,Tm,,Opp,Rslt,Inngs,PA,AB,R,H,2B,3B,HR,RBI,BB,IBB,SO,HBP,SH,SF,ROE,GDP,SB,CS,BA,OBP,SLG,OPS,BOP,aLI,WPA,acLI,cWPA,RE24,Pos,cWPA,RE24,Pos
3-Jun,NYY,,CHW,W11-1,CG,5,5,2,2,0,1,0,3,0,0,0,0,0,,0,,0,0,0.382,0.4,0.662,1.062,3,0.55,0.036,3.05,0.12%,1.19,LF,0.12%,1.19,LF
4-Jun,NYY,,CHW,L3-16,CG,4,4,0,1,0,0,0,0,0,0,0,0,0,,0,,0,0,0.379,0.396,0.65,1.046,3,0.28,-0.016,1.49,-0.05%,-0.33,LF,-0.05%,-0.33,LF
5-Jun,NYY,,CLE,W4-3,CG,4,4,1,2,0,0,0,0,0,0,0,0,0,,0,,0,0,0.382,0.399,0.646,1.044,3,1.57,0.114,9,0.39%,0.62,LF,0.39%,0.62,LF
6-Jun,NYY,,CLE,L2-4,CG,4,4,0,0,0,0,0,0,0,0,0,0,0,,0,,0,0,0.372,0.388,0.628,1.017,3,1.08,-0.126,6.25,-0.44%,-0.99,LF,-0.44%,-0.99,LF
7-Jun,NYY,,CLE,W5-4,CG(16),7,7,0,0,0,0,0,0,0,0,0,0,0,,0,,0,0,0.355,0.371,0.6,0.971,3,1.5,-0.286,8.79,-1.01%,-1.54,LF,-1.01%,-1.54,LF
8-Jun,NYY,,SLB,W12-3,CG,5,5,2,3,0,1,1,5,0,0,0,0,0,,0,,0,0,0.363,0.378,0.631,1.009,3,0.73,0.084,3.58,0.25%,2.01,LF,0.25%,2.01,LF
9-Jun,NYY,,SLB,L3-5,CG,4,4,0,1,0,0,0,0,0,0,0,0,0,,0,,0,0,0.36,0.375,0.622,0.997,3,0.99,0.051,5.04,0.16%,-0.06,LF,0.16%,-0.06,LF
11-Jun,NYY,,DET,W10-9,CG(10),5,5,0,1,0,0,0,0,0,0,1,0,0,,0,,0,0,0.355,0.37,0.609,0.979,3,1.23,-0.214,7.51,-0.79%,-1.5,LF,-0.79%,-1.5,LF
12-Jun,NYY,,DET,W9-6,CG,5,2,1,2,0,0,0,1,2,0,0,0,1,,0,,0,0,0.363,0.384,0.614,0.998,3,0.72,0.072,4.3,0.26%,2.31,LF,0.26%,2.31,LF
16-Jun,NYY,@,CLE,L4-8,CG,5,5,0,1,0,0,0,1,0,0,0,0,0,,0,,0,0,0.358,0.379,0.602,0.981,3,0.48,-0.041,2.71,-0.14%,-0.56,LF,-0.14%,-0.56,LF
