Date,Tm,,Opp,Rslt,Inngs,PA,AB,R,H,2B,3B,HR,RBI,BB,IBB,SO,HBP,SH,SF,ROE,GDP,SB,CS,BA,OBP,SLG,OPS,BOP,aLI,WPA,acLI,cWPA,RE24,Pos,cWPA,RE24,Pos
Jun 25 (2),NYY,,SLB,W11-2,CG,5,5,3,3,1,0,0,1,0,0,0,0,0,,0,1,0,0,0.41,0.5,0.651,1.151,4,1.04,0.12,1.86,0.13%,1.29,CF,0.13%,1.29,CF
26-Jun,NYY,@,PHA,L2-3,CG,4,4,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0.391,0.48,0.621,1.101,4,1.44,-0.152,2.34,-0.15%,-0.98,CF,-0.15%,-0.98,CF
Jun 28 (1),NYY,@,PHA,W23-2,CG,7,5,4,3,0,0,2,3,2,0,0,0,0,,1,0,0,0,0.402,0.495,0.685,1.18,4,0.21,0.13,0.39,0.15%,3.63,CF,0.15%,3.63,CF
Jun 28 (2),NYY,@,PHA,W10-0,CG,5,5,2,2,0,0,1,2,0,0,0,0,0,,0,0,0,0,0.402,0.491,0.701,1.192,4,0.33,0.073,0.59,0.08%,1.3,CF,0.08%,1.3,CF
Jun 29 (1),NYY,@,WSH,L1-2,CG(12),5,5,0,1,0,0,0,1,0,0,0,0,0,,0,0,0,0,0.392,0.479,0.676,1.155,4,1.7,-0.116,2.38,-0.10%,-0.09,CF,-0.10%,-0.09,CF
Jun 29 (2),NYY,@,WSH,W7-0,CG(6),3,3,0,2,0,0,0,0,0,0,1,0,0,,0,0,0,0,0.4,0.484,0.676,1.16,4,0.56,0.021,0.94,0.02%,0.27,CF,0.02%,0.27,CF
30-Jun,NYY,@,WSH,W10-2,CG(7),4,4,1,3,2,0,0,4,0,0,0,0,0,,0,0,0,0,0.413,0.492,0.697,1.189,4,0.84,0.208,1.11,0.17%,2.7,CF,0.17%,2.7,CF
1-Jul,NYY,@,BOS,L3-5,CG,4,4,0,1,0,0,0,0,0,0,1,0,0,,0,0,0,0,0.407,0.485,0.681,1.166,4,0.91,-0.073,1.54,-0.07%,-0.61,CF,-0.07%,-0.61,CF
Jul 2 (1),NYY,@,BOS,L3-7,CG,4,4,0,3,1,0,0,1,0,0,0,0,0,,0,0,0,0,0.419,0.493,0.692,1.185,4,0.97,0.075,1.97,0.09%,0.77,CF,0.09%,0.77,CF
Jul 2 (2),NYY,@,BOS,W9-3,CG,5,5,2,3,0,0,1,3,0,0,0,0,0,,0,0,0,0,0.426,0.496,0.713,1.21,4,0.48,0.103,1.25,0.16%,2.45,CF,0.16%,2.45,CF
Jul 4 (1),NYY,,WSH,L2-3,CG,4,3,0,1,0,0,0,0,1,0,0,0,0,,0,0,0,0,0.424,0.497,0.704,1.201,4,1.49,0.072,2.02,0.06%,0.03,CF,0.06%,0.03,CF
Jul 4 (2),NYY,,WSH,W11-1,CG,5,5,2,3,1,0,0,1,0,0,0,0,0,,0,0,0,0,0.431,0.5,0.708,1.208,4,0.45,0.039,0.67,0.04%,1.22,CF,0.04%,1.22,CF
5-Jul,NYY,,WSH,W6-4,CG,4,4,1,1,0,0,1,3,0,0,0,0,0,,0,0,0,0,0.425,0.493,0.716,1.21,4,1.05,0.065,1.73,0.06%,0.94,CF,0.06%,0.94,CF
7-Jul,NYY,,BOS,L3-4,CG,4,4,0,1,0,0,0,1,0,0,0,0,0,,0,1,0,0,0.42,0.487,0.703,1.19,4,2.17,-0.179,5.47,-0.27%,-0.93,CF,-0.27%,-0.93,CF
Jul 8 (1),NYY,,BOS,L1-3,CG,4,4,0,1,0,0,0,0,0,0,0,0,0,,0,0,0,0,0.415,0.481,0.69,1.171,4,1.56,-0.062,4.95,-0.12%,-0.2,CF,-0.12%,-0.2,CF
Jul 8 (2),NYY,,BOS,L2-3,CG,4,4,1,2,0,0,0,0,0,0,0,0,0,,0,0,0,0,0.418,0.482,0.685,1.167,4,1.86,0.165,7.18,0.38%,0.48,CF,0.38%,0.48,CF
Jul 9 (1),NYY,,BOS,L3-4,CG,5,5,0,4,1,0,0,1,0,0,0,0,0,,0,0,0,0,0.43,0.491,0.695,1.186,4,1.39,0.092,6.33,0.25%,1.85,CF,0.25%,1.85,CF
Jul 9 (2),NYY,,BOS,L3-5,CG,4,3,0,2,0,0,0,3,0,0,0,0,0,,0,0,0,0,0.435,0.494,0.695,1.189,4,1.39,0.074,7.57,0.24%,0.76,CF,0.24%,0.76,CF
13-Jul,NYY,@,DET,L6-10,CG,5,4,1,3,0,0,0,1,1,1,0,0,0,,0,0,1,0,0.443,0.503,0.696,1.199,4,1.28,0.177,5.06,0.42%,2,CF,0.42%,2,CF
14-Jul,NYY,@,DET,W6-3,CG,5,4,2,0,0,0,0,0,1,1,0,0,0,,2,0,1,0,0.432,0.495,0.679,1.174,4,1.03,0.063,4.28,0.16%,0.93,CF,0.16%,0.93,CF
15-Jul,NYY,@,DET,W10-7,CG,5,4,0,0,0,0,0,0,1,1,1,0,0,,1,0,0,0,0.422,0.487,0.663,1.149,4,0.43,-0.028,1.6,-0.06%,-0.4,CF,-0.06%,-0.4,CF
Jul 16 (1),NYY,@,CLE,W5-2,CG,5,4,2,1,1,0,0,0,1,1,0,0,0,,0,0,0,0,0.418,0.484,0.659,1.143,4,0.59,0.013,2.19,0.03%,-0.36,CF,0.03%,-0.36,CF
Jul 16 (2),NYY,@,CLE,W8-3,CG,5,5,0,0,0,0,0,0,0,0,0,0,0,,0,1,0,0,0.406,0.472,0.64,1.112,4,0.78,-0.157,2.59,-0.31%,-2.77,CF,-0.31%,-2.77,CF
17-Jul,NYY,@,CLE,W3-0,CG,4,3,0,0,0,0,0,0,0,0,1,1,0,,0,1,0,0,0.399,0.468,0.629,1.097,4,0.88,-0.056,3.12,-0.12%,-0.89,CF,-0.12%,-0.89,CF
Jul 18 (1),NYY,@,SLB,W9-0,CG,5,4,1,2,2,0,0,1,1,0,0,0,0,,0,0,0,0,0.401,0.471,0.637,1.108,4,0.68,0.075,1.97,0.13%,0.91,CF,0.13%,0.91,CF
Jul 18 (2),NYY,@,SLB,W4-3,GS-5,3,2,0,1,0,0,0,1,1,0,0,0,0,,0,0,0,0,0.402,0.474,0.636,1.11,4,0.88,0.103,2.42,0.17%,1.11,CF,0.17%,1.11,CF
20-Jul,NYY,@,SLB,W2-1,CG,4,4,1,3,0,1,0,0,0,0,0,0,0,,0,0,0,0,0.41,0.479,0.649,1.128,4,0.82,0.093,1.6,0.11%,1.01,CF,0.11%,1.01,CF
21-Jul,NYY,@,CHW,L1-4,CG,4,4,0,1,0,0,0,1,0,0,0,0,0,,0,0,0,0,0.406,0.475,0.641,1.115,4,0.82,-0.01,1.54,-0.01%,-0.2,CF,-0.01%,-0.2,CF
Jul 23 (1),NYY,@,CHW,L5-8,CG,4,4,1,1,0,0,0,2,0,0,0,0,0,,0,0,0,0,0.403,0.471,0.633,1.103,4,1.17,0.052,2.96,0.08%,0.37,CF,0.08%,0.37,CF
Jul 23 (2),NYY,@,CHW,W5-4,CG,5,5,2,2,0,1,0,0,0,0,0,0,0,,1,0,0,0,0.403,0.469,0.637,1.106,4,1.32,0.146,3.82,0.26%,1.12,CF,0.26%,1.12,CF
25-Jul,NYY,,SLB,W5-1,CG,5,5,2,2,0,0,1,1,0,0,0,0,0,,0,0,0,0,0.403,0.468,0.646,1.113,4,0.72,0.008,2.06,0.01%,0.13,CF,0.01%,0.13,CF
26-Jul,NYY,,SLB,W14-1,CG,5,5,2,3,2,0,0,2,0,0,0,0,0,,0,0,0,0,0.408,0.47,0.654,1.124,4,0.26,0.102,0.74,0.17%,1.71,CF,0.17%,1.71,CF
28-Jul,NYY,,CHW,W2-1,CG,4,4,0,2,1,0,0,0,0,0,0,0,0,,0,0,0,0,0.409,0.471,0.656,1.127,4,1.1,-0.074,2.65,-0.11%,-0.59,CF,-0.11%,-0.59,CF
Jul 30 (1),NYY,,CHW,W4-3,CG,4,4,1,1,0,0,0,0,0,0,0,0,0,,1,0,0,0,0.406,0.467,0.648,1.116,4,0.49,0.019,0.84,0.02%,-0.13,CF,0.02%,-0.13,CF
Jul 30 (2),NYY,,CHW,L1-5,CG,4,3,0,1,0,0,0,1,0,0,0,0,1,,0,0,0,0,0.405,0.466,0.644,1.11,4,0.71,-0.04,0.98,-0.03%,0.11,CF,-0.03%,0.11,CF
1-Aug,NYY,,DET,L2-5,CG,5,4,1,1,1,0,0,0,1,0,0,0,0,,0,0,0,0,0.403,0.464,0.642,1.106,4,1.04,-0.033,1.71,-0.03%,-0.35,CF,-0.03%,-0.35,CF
2-Aug,NYY,,DET,L2-7,CG,4,4,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0.396,0.457,0.63,1.087,4,0.99,-0.104,2.12,-0.14%,-1.31,CF,-0.14%,-1.31,CF
3-Aug,NYY,,DET,W12-3,CG,5,5,3,3,0,0,2,5,0,0,0,0,0,,0,0,0,0,0.4,0.46,0.655,1.115,4,0.62,0.189,1.53,0.28%,2.99,CF,0.28%,2.99,CF
4-Aug,NYY,,CLE,W5-4,CG,4,3,0,1,0,0,0,1,0,0,1,0,0,,1,0,0,0,0.399,0.458,0.651,1.11,4,1.04,0.023,2.59,0.03%,0.28,CF,0.03%,0.28,CF
5-Aug,NYY,,CLE,W6-1,CG,4,4,1,2,0,0,1,3,0,0,0,0,0,,0,0,0,0,0.401,0.459,0.661,1.12,4,1.23,0.036,2.67,0.05%,2.04,CF,0.05%,2.04,CF
Aug 6 (1),NYY,,CLE,L4-5,CG,4,4,1,1,0,0,1,1,0,0,1,0,0,,0,0,0,0,0.398,0.456,0.667,1.123,4,1.91,-0.073,3.06,-0.07%,0.07,CF,-0.07%,0.07,CF
Aug 6 (2),NYY,,CLE,L1-7,CG,4,3,0,1,1,0,0,1,1,0,0,0,0,,0,0,0,0,0.398,0.457,0.667,1.123,4,1.2,0.022,2.29,0.03%,0.34,CF,0.03%,0.34,CF
8-Aug,NYY,@,WSH,L4-7,CG,5,4,2,0,0,0,0,0,1,0,1,0,0,,0,0,0,0,0.391,0.452,0.656,1.108,4,0.76,-0.019,1.53,-0.02%,-0.12,CF,-0.02%,-0.12,CF
9-Aug,NYY,@,WSH,W13-8,CG,6,5,2,2,0,0,1,4,1,0,0,0,0,,0,1,0,0,0.391,0.453,0.663,1.116,4,0.72,0.35,1.81,0.53%,3.21,CF,0.53%,3.21,CF
10-Aug,NYY,@,WSH,L5-7,CG,5,5,0,1,0,0,0,0,0,0,0,0,0,,0,0,0,0,0.388,0.449,0.654,1.103,4,2.24,-0.176,5.89,-0.28%,-1.37,CF,-0.28%,-1.37,CF
11-Aug,NYY,@,PHA,W9-5,CG,5,5,1,3,1,0,0,1,0,0,1,0,0,,0,0,0,0,0.392,0.451,0.657,1.108,4,0.79,0.085,2.51,0.16%,2.25,CF,0.16%,2.25,CF
12-Aug,NYY,@,PHA,W18-4,CG,6,4,1,1,0,0,0,1,1,0,0,1,0,,1,0,0,0,0.39,0.452,0.651,1.103,4,0.45,0.073,1.31,0.13%,1.89,CF,0.13%,1.89,CF
Aug 13 (1),NYY,@,PHA,L9-12,CG,5,4,1,1,0,0,0,0,1,0,0,0,0,,0,0,0,0,0.388,0.451,0.645,1.096,4,0.79,-0.048,2.14,-0.08%,-0.65,CF,-0.08%,-0.65,CF
Aug 13 (2),NYY,@,PHA,W21-0,CG(8),6,5,3,4,0,0,2,5,0,0,0,0,1,,0,0,0,0,0.395,0.457,0.669,1.126,4,0.28,0.026,0.89,0.05%,3.69,CF,0.05%,3.69,CF
15-Aug,NYY,,WSH,W3-2,CG(10),4,3,0,0,0,0,0,0,1,0,0,0,0,,0,0,0,0,0.391,0.454,0.662,1.116,4,1.36,-0.073,3.79,-0.12%,-0.44,CF,-0.12%,-0.44,CF
16-Aug,NYY,,WSH,W4-0,CG,4,4,1,3,1,0,1,3,0,0,0,0,0,,0,0,0,0,0.396,0.458,0.677,1.135,4,0.75,0.202,1.59,0.26%,2.63,CF,0.26%,2.63,CF
17-Aug,NYY,,WSH,W9-8,CG(10),6,4,1,1,0,0,1,5,2,1,0,0,0,,0,0,0,0,0.394,0.459,0.682,1.14,4,2.35,0.24,4.38,0.27%,2.53,CF,0.27%,2.53,CF
18-Aug,NYY,,PHA,W5-0,CG,4,4,1,2,1,0,0,1,0,0,0,0,0,,0,0,0,0,0.395,0.459,0.682,1.142,4,0.99,-0.012,1.85,-0.01%,0.18,CF,-0.01%,0.18,CF
Aug 20 (1),NYY,,PHA,L4-5,CG,5,5,0,1,0,0,0,0,0,0,0,0,0,,0,0,0,0,0.392,0.455,0.674,1.13,4,1.45,-0.144,2.71,-0.16%,-0.7,CF,-0.16%,-0.7,CF
Aug 20 (2),NYY,,PHA,W5-1,CG,4,4,1,1,0,0,0,0,0,0,0,0,0,,0,0,0,0,0.39,0.453,0.669,1.122,4,1.24,-0.002,2.76,0.00%,-0.44,CF,0.00%,-0.44,CF
22-Aug,NYY,@,CHW,W14-5,CG,6,6,1,3,0,0,1,2,0,0,0,0,0,,0,0,0,0,0.392,0.454,0.675,1.129,4,0.96,0.143,1.87,0.17%,1.85,CF,0.17%,1.85,CF
Aug 23 (1),NYY,@,CHW,W7-2,CG,5,4,2,2,0,0,0,0,1,0,0,0,0,,1,0,0,0,0.394,0.456,0.673,1.129,4,0.52,0.082,1.01,0.09%,1.75,CF,0.09%,1.75,CF
Aug 23 (2),NYY,@,CHW,W16-4,GS-9,6,5,3,3,0,0,1,3,1,0,0,0,0,,0,0,0,0,0.397,0.459,0.681,1.141,4,0.71,0.096,1.08,0.09%,2.47,CF,0.09%,2.47,CF
24-Aug,NYY,@,SLB,W11-5,CG,6,5,1,3,0,0,0,0,1,0,1,0,0,,0,0,0,0,0.4,0.463,0.68,1.143,4,0.87,0.118,1.33,0.11%,0.49,CF,0.11%,0.49,CF
Aug 25 (1),NYY,@,SLB,W11-0,CG,5,2,2,1,0,0,0,1,2,0,0,0,0,,0,0,0,0,0.401,0.466,0.679,1.145,4,0.4,-0.004,0.4,0.00%,0.18,CF,0.00%,0.18,CF
Aug 25 (2),NYY,@,SLB,W8-2,CG,5,4,1,2,0,0,0,2,1,0,0,0,0,,0,0,0,0,0.402,0.468,0.677,1.144,4,0.44,0.065,0.37,0.03%,1.61,CF,0.03%,1.61,CF
26-Aug,NYY,@,SLB,W6-1,CG,5,3,1,2,0,0,0,1,2,0,0,0,0,,0,0,0,0,0.404,0.472,0.677,1.149,4,1.06,0.109,0.47,0.03%,1.88,CF,0.03%,1.88,CF
27-Aug,NYY,@,DET,W13-3,CG,5,5,1,1,1,0,0,1,0,0,0,0,0,,0,0,0,0,0.401,0.469,0.673,1.141,4,0.54,-0.029,0.13,0.00%,0.3,CF,0.00%,0.3,CF
28-Aug,NYY,@,DET,W18-2,CG,6,4,3,3,0,0,2,8,2,0,0,0,0,,0,0,0,0,0.405,0.474,0.691,1.165,4,0.38,0.113,0.04,0.01%,6.02,CF,0.01%,6.02,CF
29-Aug,NYY,@,DET,L6-7,CG,5,5,2,3,0,0,1,3,0,0,0,0,0,,0,0,0,0,0.408,0.476,0.698,1.174,4,1.18,0.392,0.1,0.02%,3.24,CF,0.02%,3.24,CF
30-Aug,NYY,@,CLE,L3-4,CG(10),5,5,0,1,1,0,0,1,0,0,0,0,0,,0,1,0,0,0.405,0.472,0.694,1.166,4,1.87,-0.128,0.23,-0.01%,-0.53,CF,-0.01%,-0.53,CF
1-Sep,NYY,@,CLE,W11-8,CG,5,5,2,3,0,2,0,6,0,0,0,0,0,,0,0,0,0,0.408,0.474,0.704,1.178,4,1.51,0.555,0.14,0.03%,5.02,CF,0.03%,5.02,CF
2-Sep,NYY,@,BOS,L7-12,CG,5,5,2,2,1,0,1,2,0,0,0,0,0,,1,0,0,0,0.408,0.473,0.711,1.184,4,0.36,0.07,0.02,0.00%,1.65,CF,0.00%,1.65,CF
Sep 3 (1),NYY,@,BOS,L11-12,GS-1,1,1,0,0,0,0,0,1,0,0,0,0,0,,0,0,0,0,0.407,0.472,0.709,1.181,4,1.82,-0.008,0.1,0.00%,-0.17,CF,0.00%,-0.17,CF
Sep 3 (2),NYY,@,BOS,T5-5,CG(7),4,4,2,3,0,0,1,2,0,0,0,0,0,,0,0,0,0,0.41,0.475,0.717,1.192,4,1.24,0.319,0.19,0.03%,2.17,CF,0.03%,2.17,CF
Sep 4 (1),NYY,@,PHA,W7-6,CG,5,4,0,0,0,0,0,0,1,0,1,0,0,,0,0,0,0,0.406,0.471,0.71,1.181,4,0.95,-0.077,0.04,0.00%,-0.95,CF,0.00%,-0.95,CF
Sep 4 (2),NYY,@,PHA,W2-0,CG,4,4,0,1,1,0,0,1,0,0,1,0,0,,0,0,0,0,0.404,0.469,0.707,1.177,4,1.22,-0.017,0.05,0.00%,-0.43,CF,0.00%,-0.43,CF
6-Sep,NYY,,BOS,W2-1,CG,4,4,1,2,0,0,1,1,0,0,0,0,0,,0,0,1,0,0.405,0.469,0.713,1.183,4,1.69,0.227,0.02,0.00%,0.54,CF,0.00%,0.54,CF
7-Sep,NYY,,BOS,W5-2,CG,4,3,1,2,0,0,1,1,1,0,0,0,0,,0,0,0,0,0.407,0.472,0.721,1.193,4,0.41,0.126,0,0.00%,1.68,CF,0.00%,1.68,CF
8-Sep,NYY,,BOS,W4-1,CG(7),3,2,0,0,0,0,0,0,1,0,0,0,0,,0,0,0,0,0.405,0.471,0.717,1.188,4,0.75,0.009,0,0.00%,-0.09,CF,0.00%,-0.09,CF
9-Sep,NYY,,WSH,W5-2,CG,4,4,2,3,1,0,0,1,0,0,0,0,0,,0,0,0,0,0.409,0.474,0.72,1.193,4,1.09,0.103,0,0.00%,1.88,CF,0.00%,1.88,CF
Sep 10 (1),NYY,,WSH,W4-3,CG,4,4,0,0,0,0,0,0,0,0,1,0,0,,0,1,0,0,0.405,0.469,0.712,1.182,4,0.52,-0.07,0,0.00%,-1.35,CF,0.00%,-1.35,CF
Sep 10 (2),NYY,,WSH,W6-2,CG,4,4,0,0,0,0,0,0,0,0,1,0,0,,0,0,0,0,0.401,0.465,0.705,1.17,4,0.53,-0.07,0,0.00%,-1.05,CF,0.00%,-1.05,CF
12-Sep,NYY,,CLE,L3-4,CG(10),5,5,0,0,0,0,0,0,0,0,1,0,0,,0,0,0,0,0.396,0.46,0.697,1.157,4,2.21,-0.277,0,0.00%,-1.6,CF,0.00%,-1.6,CF
13-Sep,NYY,,CLE,L4-9,CG,4,4,1,2,0,0,0,0,0,0,0,0,0,,0,0,0,0,0.397,0.46,0.695,1.155,4,0.62,-0.045,0,0.00%,-0.32,CF,0.00%,-0.32,CF
14-Sep,NYY,,DET,L1-6,CG,4,4,0,0,0,0,0,0,0,0,1,0,0,,0,0,0,0,0.393,0.456,0.688,1.144,4,0.74,-0.066,0,0.00%,-1.24,CF,0.00%,-1.24,CF
15-Sep,NYY,,DET,W10-3,CG,6,3,1,0,0,0,0,0,3,0,1,0,0,,0,0,0,0,0.39,0.457,0.683,1.14,4,0.34,-0.008,0,0.00%,-1.09,CF,0.00%,-1.09,CF
16-Sep,NYY,,DET,W8-5,CG,4,4,1,1,0,0,1,1,0,0,0,0,0,,1,0,0,0,0.388,0.455,0.686,1.141,4,1.12,0.007,0,0.00%,0.39,CF,0.00%,0.39,CF
Sep 17 (1),NYY,,SLB,L4-8,CG,5,4,2,2,1,0,0,1,0,0,1,1,0,,0,0,0,0,0.39,0.457,0.686,1.143,4,1.41,-0.011,0,0.00%,0.19,CF,0.00%,0.19,CF
Sep 17 (2),NYY,,SLB,L1-3,CG,4,4,0,1,0,0,0,0,0,0,0,0,0,,0,0,0,0,0.388,0.455,0.682,1.137,4,1.36,-0.071,0,0.00%,-0.44,CF,0.00%,-0.44,CF
18-Sep,NYY,,SLB,W6-2,CG,5,2,1,0,0,0,0,0,3,0,0,0,0,,0,1,0,0,0.386,0.456,0.679,1.136,4,0.7,0.028,0,0.00%,-0.23,CF,0.00%,-0.23,CF
19-Sep,NYY,,CHW,W6-2,CG,4,4,1,2,0,0,0,0,0,0,0,0,0,,0,0,0,0,0.387,0.457,0.677,1.134,4,0.49,-0.001,0,0.00%,0.07,CF,0.00%,0.07,CF
20-Sep,NYY,,CHW,W8-4,CG,4,4,1,2,0,1,0,0,0,0,0,0,0,,0,0,0,0,0.389,0.457,0.68,1.138,4,0.98,0.026,0,0.00%,0.31,CF,0.00%,0.31,CF
21-Sep,NYY,,CHW,W5-2,CG,4,4,0,0,0,0,0,0,0,0,0,0,0,,1,0,0,0,0.385,0.453,0.674,1.128,4,0.82,-0.072,0,0.00%,-1.6,CF,0.00%,-1.6,CF
23-Sep,NYY,@,WSH,W7-1,CG,5,5,1,1,0,0,1,2,0,0,0,0,0,,0,1,0,0,0.383,0.451,0.676,1.127,4,0.59,0.014,0,0.00%,0.6,CF,0.00%,0.6,CF
24-Sep,NYY,@,WSH,W3-2,CG,4,4,1,2,0,0,1,1,0,0,1,0,0,,0,0,0,0,0.384,0.451,0.681,1.132,4,1.53,0.337,0,0.00%,0.89,CF,0.00%,0.89,CF
Sep 28 (1),NYY,,PHA,W8-4,CG,4,3,1,0,0,0,0,0,0,0,1,1,0,,0,0,0,0,0.381,0.45,0.676,1.126,4,0.53,-0.033,0,0.00%,-0.74,CF,0.00%,-0.74,CF
Sep 28 (2),NYY,,PHA,L4-5,CG,4,4,0,2,1,0,0,1,0,0,0,0,0,,0,1,0,0,0.382,0.45,0.677,1.127,4,1.67,0.106,0,0.00%,0.14,CF,0.00%,0.14,CF
Sep 30 (1),NYY,,BOS,W5-4,CG,4,4,1,2,0,0,0,0,0,0,0,0,0,,0,0,0,0,0.383,0.45,0.675,1.126,4,1.16,0.088,0,0.00%,0.63,CF,0.00%,0.63,CF
Sep 30 (2),NYY,,BOS,L2-4,CG(7),3,3,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0.381,0.448,0.671,1.119,4,1.09,-0.085,0,0.00%,-0.97,CF,0.00%,-0.97,CF
7-May,NYY,,DET,L2-4,CG,5,5,0,1,0,0,0,0,0,0,0,0,0,,0,0,0,0,0.2,0.2,0.2,0.4,4,2.35,-0.266,4.34,-0.30%,-1.79,CF,-0.30%,-1.79,CF
8-May,NYY,,CLE,L4-10,CG,4,2,0,2,0,0,0,1,1,0,0,1,0,,0,0,0,0,0.429,0.556,0.429,0.984,4,0.59,0.137,0.94,0.13%,1.96,CF,0.13%,1.96,CF
9-May,NYY,,CLE,L0-4,CG,4,3,0,1,0,0,0,0,1,0,0,0,0,,0,0,0,0,0.4,0.538,0.4,0.938,4,0.7,0,0.93,0.00%,0.16,CF,0.00%,0.16,CF
10-May,NYY,,BOS,L2-3,CG(10),5,4,0,1,0,0,0,0,1,1,0,0,0,,0,0,0,0,0.357,0.5,0.357,0.857,4,1.29,0.032,1.56,0.02%,-0.17,CF,0.02%,-0.17,CF
11-May,NYY,,BOS,L8-9,CG(11),6,5,0,1,1,0,0,0,1,0,0,0,0,,0,0,0,0,0.316,0.458,0.368,0.827,4,2.03,-0.108,1.92,-0.06%,-0.18,CF,-0.06%,-0.18,CF
12-May,NYY,,BOS,W4-0,CG,4,2,0,1,0,0,0,1,2,2,0,0,0,,0,0,0,0,0.333,0.5,0.381,0.881,4,0.87,0.08,0.69,0.04%,0.99,CF,0.04%,0.99,CF
17-May,NYY,@,CHW,W6-1,CG,4,4,2,2,0,0,1,2,0,0,1,0,0,,0,0,0,0,0.36,0.5,0.52,1.02,4,0.47,0.188,0.42,0.10%,1.88,CF,0.10%,1.88,CF
18-May,NYY,@,CHW,W3-0,CG,4,4,1,2,0,0,0,0,0,0,0,0,0,,0,0,0,0,0.379,0.5,0.517,1.017,4,0.44,0.014,0.39,0.01%,0.44,CF,0.01%,0.44,CF
19-May,NYY,@,CLE,L1-5,CG,4,4,0,1,0,0,0,0,0,0,2,0,0,,0,0,0,0,0.364,0.475,0.485,0.96,4,0.83,0.012,1,0.01%,-0.1,CF,0.01%,-0.1,CF
20-May,NYY,@,CLE,L2-10,CG,4,1,1,0,0,0,0,0,3,0,0,0,0,,0,0,0,0,0.353,0.5,0.471,0.971,4,0.38,-0.007,0.41,-0.01%,0.39,CF,-0.01%,0.39,CF
21-May,NYY,@,CLE,W10-2,CG,5,5,2,1,1,0,0,1,0,0,0,0,0,,1,0,0,0,0.333,0.469,0.462,0.931,4,0.73,0.056,0.63,0.03%,0.46,CF,0.03%,0.46,CF
22-May,NYY,@,DET,W8-2,CG,5,5,0,1,0,0,0,0,0,0,0,0,0,,0,1,0,0,0.318,0.444,0.432,0.876,4,0.3,-0.019,0.3,-0.01%,-1.37,CF,-0.01%,-1.37,CF
23-May,NYY,@,DET,L2-3,CG,4,4,1,1,0,0,1,2,0,0,0,0,0,,0,0,0,0,0.313,0.431,0.479,0.91,4,1.6,0.009,1.86,0.01%,0.78,CF,0.01%,0.78,CF
26-May,NYY,@,BOS,W7-2,CG,5,3,1,1,0,0,0,0,2,0,1,0,0,,0,0,0,0,0.314,0.444,0.471,0.915,4,0.66,0.032,0.74,0.02%,0.3,CF,0.02%,0.3,CF
27-May,NYY,,WSH,W5-0,CG,4,4,1,1,0,0,1,1,0,0,1,0,0,,0,1,0,0,0.309,0.433,0.509,0.942,4,0.87,-0.065,0.97,-0.04%,-1.7,CF,-0.04%,-1.7,CF
May 28 (1),NYY,,WSH,W12-4,CG,5,4,1,1,0,0,0,0,1,0,0,0,0,,1,1,0,0,0.305,0.431,0.492,0.922,4,0.33,-0.053,0.4,-0.04%,0.46,CF,-0.04%,0.46,CF
May 28 (2),NYY,,WSH,W3-1,CG,4,3,1,1,0,0,0,0,1,0,0,0,0,,0,0,0,0,0.306,0.434,0.484,0.918,4,1,-0.006,1.32,-0.01%,-0.31,CF,-0.01%,-0.31,CF
29-May,NYY,,WSH,W2-1,CG,4,4,0,1,0,0,0,0,0,0,0,0,0,,0,0,0,0,0.303,0.425,0.47,0.895,4,0.45,-0.024,0.68,-0.02%,-0.43,CF,-0.02%,-0.43,CF
May 30 (1),NYY,,BOS,W4-0,CG,4,4,0,2,1,0,0,0,0,0,1,0,0,,0,0,0,0,0.314,0.429,0.486,0.914,4,0.31,-0.031,0.6,-0.04%,-0.32,CF,-0.04%,-0.32,CF
May 30 (2),NYY,,BOS,L4-11,CG,5,3,1,1,0,0,1,3,2,0,0,0,0,,0,0,0,0,0.315,0.438,0.521,0.959,4,0.67,0.081,1.49,0.11%,2.15,CF,0.11%,2.15,CF
1-Jun,NYY,,SLB,W8-5,CG,4,3,2,2,0,0,0,1,1,0,0,0,0,,0,0,0,0,0.329,0.452,0.526,0.978,4,0.93,0.105,1.3,0.09%,1.2,CF,0.09%,1.2,CF
Jun 2 (1),NYY,,SLB,W13-4,CG,5,3,1,1,0,0,1,2,2,0,0,0,0,,0,0,0,0,0.329,0.459,0.557,1.016,4,0.49,0.081,0.75,0.08%,1.4,CF,0.08%,1.4,CF
Jun 2 (2),NYY,,SLB,W11-1,CG,4,3,2,1,0,1,0,1,1,0,0,0,0,,0,0,0,0,0.329,0.461,0.573,1.034,4,0.35,0.085,0.59,0.09%,0.89,CF,0.09%,0.89,CF
3-Jun,NYY,,SLB,W7-1,CG,4,4,0,1,0,1,0,2,0,0,1,0,0,,0,1,0,0,0.326,0.453,0.581,1.034,4,1.01,-0.093,1.82,-0.10%,0.45,CF,-0.10%,0.45,CF
4-Jun,NYY,,CHW,L3-7,CG,4,4,2,2,1,0,1,2,0,0,0,0,0,,0,0,0,0,0.333,0.455,0.622,1.077,4,0.45,-0.021,0.99,-0.03%,1.67,CF,-0.03%,1.67,CF
